gene_id	uniprot_acc	uniprot_entry	pident	align_length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qcovs	quality_tier	description
Montipora_capitata_HIv3___TS.g5047.t1	Q6AYM1	CE034_RAT	24.118	680	371	20	49	1800	9	639	4.42e-42	164	1824	640	96	LOW	Uncharacterized protein C5orf34 homolog
Montipora_capitata_HIv3___RNAseq.g35008.t1	Q13467	FZD5_HUMAN	35.252	139	86	2	784	1191	25	162	1.64e-20	99.4	1833	585	56	MEDIUM	Frizzled-5
Montipora_capitata_HIv3___RNAseq.g35024.t1	Q52L45	ILEU_XENLA	40.921	391	209	9	1	1149	1	377	7.38e-89	276	1161	377	99	HIGH	Leukocyte elastase inhibitor
Montipora_capitata_HIv3___RNAseq.g35219.t1	Q7L0X2	ERIP6_HUMAN	27.147	361	226	7	1309	2358	238	572	1.02e-24	114	2616	663	40	LOW	Glutamate-rich protein 6
Montipora_capitata_HIv3___RNAseq.g35299.t1	A6H7H7	FBX3_BOVIN	42.012	338	185	4	22	1020	13	344	1.05e-78	253	1164	469	86	HIGH	F-box only protein 3
Montipora_capitata_HIv3___RNAseq.g35333.t1	P22607	FGFR3_HUMAN	43.299	291	161	2	2764	3636	464	750	2.34e-67	247	3702	806	24	LOW	Fibroblast growth factor receptor 3
Montipora_capitata_HIv3___TS.g5595.t1	Q9C0G6	DYH6_HUMAN	56.604	53	22	1	418	573	2560	2612	4.43e-14	75.5	765	4158	52	MEDIUM	Dynein axonemal heavy chain 6
Montipora_capitata_HIv3___TS.g5653.t1	Q9C0G6	DYH6_HUMAN	41.304	92	54	0	268	543	3658	3749	3.33e-14	75.1	678	4158	41	LOW	Dynein axonemal heavy chain 6
Montipora_capitata_HIv3___RNAseq.g35621.t1	P98069	BMPH_STRPU	32.804	189	111	8	2401	2937	288	470	4.15e-18	95.1	7650	639	7	LOW	Bone morphogenetic protein 1 homolog
Montipora_capitata_HIv3___TS.g5751.t5a	Q8BIK4	DOCK9_MOUSE	37.500	984	510	22	682	3405	60	1014	0.0	594	3465	2055	79	MEDIUM	Dedicator of cytokinesis protein 9
Montipora_capitata_HIv3___RNAseq.g35718.t1	Q9BZ29	DOCK9_HUMAN	45.455	297	108	3	1	729	1772	2068	1.27e-65	224	777	2069	94	HIGH	Dedicator of cytokinesis protein 9
Montipora_capitata_HIv3___RNAseq.g35720.t1	Q9BZ29	DOCK9_HUMAN	42.367	904	465	22	121	2742	233	1110	0.0	654	2817	2069	93	HIGH	Dedicator of cytokinesis protein 9
Montipora_capitata_HIv3___RNAseq.g35804.t1	Q8BIK4	DOCK9_MOUSE	51.419	599	272	4	1	1746	1458	2054	0.0	601	1794	2055	97	HIGH	Dedicator of cytokinesis protein 9
Montipora_capitata_HIv3___RNAseq.g35897.t1	Q15485	FCN2_HUMAN	59.794	97	38	1	490	777	216	312	4.70e-32	123	810	313	36	LOW	Ficolin-2
Montipora_capitata_HIv3___RNAseq.g36135.t1	O42871	ING1_SCHPO	44.444	54	29	1	1399	1560	226	278	1.01e-08	60.5	1596	283	10	LOW	Chromatin modification-related protein png1
Montipora_capitata_HIv3___RNAseq.g36203.t1	Q27312	NADA_APLKU	36.226	265	147	10	70	831	23	276	4.03e-46	161	1008	282	76	MEDIUM	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase
Montipora_capitata_HIv3___RNAseq.g36297.t1	P39429	TRAF2_MOUSE	31.469	143	91	6	130	543	107	247	4.43e-08	58.2	969	501	43	LOW	TNF receptor-associated factor 2
Montipora_capitata_HIv3___TS.g6600.t1	Q96RW7	HMCN1_HUMAN	37.063	143	78	4	1309	1716	4124	4261	6.61e-14	79.7	1971	5635	25	LOW	Hemicentin-1
Montipora_capitata_HIv3___RNAseq.g36658.t1b	Q8WZ42	TITIN_HUMAN	26.065	399	255	18	25	1140	17740	18125	1.64e-16	87.8	1782	34350	67	LOW	Titin
Montipora_capitata_HIv3___RNAseq.g36665.t1	P34457	YMD3_CAEEL	38.919	185	95	4	1	540	16	187	9.72e-31	126	2685	286	20	LOW	Putative uncharacterized transposon-derived protein F54H12.3
Montipora_capitata_HIv3___RNAseq.g36707.t1	O73792	TIE1_DANRE	49.655	145	70	1	1306	1740	21	162	6.22e-44	159	2010	184	22	LOW	Tyrosine-protein kinase receptor Tie-1 (Fragment)
Montipora_capitata_HIv3___TS.g6765.t1	O73792	TIE1_DANRE	36.145	83	53	0	1285	1533	96	178	3.60e-14	74.3	1548	184	16	LOW	Tyrosine-protein kinase receptor Tie-1 (Fragment)
Montipora_capitata_HIv3___TS.g6766.t1	O73792	TIE1_DANRE	38.542	96	59	0	1516	1803	83	178	2.49e-20	92.4	1818	184	16	LOW	Tyrosine-protein kinase receptor Tie-1 (Fragment)
Montipora_capitata_HIv3___RNAseq.g36752.t1	Q9VBW3	CAD96_DROME	36.250	80	22	1	490	642	463	542	4.57e-06	52.0	978	773	16	LOW	Tyrosine kinase receptor Cad96Ca
Montipora_capitata_HIv3___RNAseq.g36779.t1	Q7RTR2	NLRC3_HUMAN	39.437	355	186	5	2059	3120	680	1006	1.78e-41	169	3165	1065	42	LOW	NLR family CARD domain-containing protein 3
Montipora_capitata_HIv3___RNAseq.g36836.t1	Q8VDI9	ALG9_MOUSE	55.240	563	247	3	118	1803	52	610	0.0	604	1830	611	92	HIGH	Alpha-1,2-mannosyltransferase ALG9
Montipora_capitata_HIv3___RNAseq.g36838.t1	Q9C0G6	DYH6_HUMAN	52.632	95	45	0	25	309	3503	3597	4.84e-25	105	597	4158	88	HIGH	Dynein axonemal heavy chain 6
Montipora_capitata_HIv3___RNAseq.g36845.t1	Q767F1	JHAMT_BOMMO	31.690	142	86	3	112	510	35	174	9.07e-15	75.9	840	278	48	LOW	Juvenile hormone acid O-methyltransferase
Montipora_capitata_HIv3___TS.g6904.t1	Q87TH4	UBIE_VIBPA	31.892	185	103	9	118	612	64	245	9.83e-14	74.3	1185	259	42	LOW	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
Montipora_capitata_HIv3___RNAseq.g36907.t1	Q6PEH9	S39AA_DANRE	44.025	159	81	4	439	900	686	841	4.20e-31	126	918	847	50	MEDIUM	Zinc transporter ZIP10
Montipora_capitata_HIv3___RNAseq.g36918.t1	Q91XQ0	DYH8_MOUSE	65.342	4631	1549	17	148	13977	136	4731	0.0	6106	13980	4731	99	HIGH	Dynein axonemal heavy chain 8
Montipora_capitata_HIv3___RNAseq.g36935.t1	Q8K1K9	HINFP_MOUSE	50.128	391	187	3	10	1179	15	398	9.59e-130	390	1560	503	75	HIGH	Histone H4 transcription factor
Montipora_capitata_HIv3___RNAseq.g37043.t1	Q9CZJ2	HS12B_MOUSE	34.579	642	353	11	22	1797	60	684	2.07e-105	336	1827	685	97	MEDIUM	Heat shock 70 kDa protein 12B
Montipora_capitata_HIv3___RNAseq.g27709.t1	P18433	PTPRA_HUMAN	53.659	41	19	0	3	125	735	775	1.06e-07	57.4	1074	802	11	LOW	Receptor-type tyrosine-protein phosphatase alpha
Montipora_capitata_HIv3___RNAseq.g27716.t1	A2VDD2	DYL5B_XENLA	34.615	104	62	3	934	1245	73	170	5.23e-11	64.7	1263	176	25	LOW	Dynein light chain Tctex-type 5-B (Fragment)
Montipora_capitata_HIv3___RNAseq.g27719.t1	A0A5F9C6I2	RN123_RABIT	39.873	158	75	6	3019	3483	121	261	3.43e-26	121	4440	1314	10	LOW	E3 ubiquitin-protein ligase RNF123
Montipora_capitata_HIv3___RNAseq.g27720.t1	B0UYI1	TEAN2_DANRE	43.810	210	112	4	1	627	1	205	2.90e-42	145	651	210	96	HIGH	Transcription elongation factor A N-terminal and central domain-containing protein 2
Montipora_capitata_HIv3___TS.g24268.t2	P42566	EPS15_HUMAN	33.862	189	98	5	4	546	119	288	6.81e-21	103	4224	896	13	LOW	Epidermal growth factor receptor substrate 15
Montipora_capitata_HIv3___RNAseq.g28116.t1	Q9VBW3	CAD96_DROME	39.706	136	82	0	1015	1422	628	763	6.21e-32	134	1638	773	25	LOW	Tyrosine kinase receptor Cad96Ca
Montipora_capitata_HIv3___RNAseq.g28405.t2	Q8R151	ZNFX1_MOUSE	41.372	1501	675	30	901	4971	324	1763	0.0	1055	5169	1909	79	HIGH	NFX1-type zinc finger-containing protein 1
Montipora_capitata_HIv3___RNAseq.g28902.t1	P70490	MFGM_RAT	34.579	321	191	6	4291	5208	111	427	1.15e-49	188	14211	427	97	MEDIUM	Lactadherin
Montipora_capitata_HIv3___TS.g25596.t1	P70191	TRAF5_MOUSE	28.571	168	108	4	10	492	55	217	2.46e-10	64.7	894	558	54	LOW	TNF receptor-associated factor 5
Montipora_capitata_HIv3___RNAseq.g29212.t1	Q8N0U7	CA087_HUMAN	42.188	64	37	0	1657	1848	470	533	7.37e-07	56.2	1896	546	10	LOW	Uncharacterized protein C1orf87
Montipora_capitata_HIv3___TS.g25865.t1a	P16425	Y2R2_DROME	27.273	231	136	10	1879	2532	339	550	3.27e-08	61.6	2763	1021	24	LOW	Putative 115 kDa protein in type-1 retrotransposable element R1DM
Montipora_capitata_HIv3___RNAseq.g29402.t1	Q9JLB4	CUBN_MOUSE	27.178	287	177	10	10	849	1021	1282	1.55e-14	79.0	1032	3623	82	LOW	Cubilin
Montipora_capitata_HIv3___RNAseq.g29489.t1	Q5IS75	ACHB3_PANTR	33.030	330	211	4	16	1005	7	326	2.05e-58	201	1314	458	75	MEDIUM	Neuronal acetylcholine receptor subunit beta-3
Montipora_capitata_HIv3___TS.g20805.t1	P20785	CO6A1_CHICK	29.843	191	102	12	220	723	824	1005	1.68e-07	55.8	828	1019	61	LOW	Collagen alpha-1(VI) chain
Montipora_capitata_HIv3___TS.g20814.t1	Q923Q2	STA13_MOUSE	29.891	184	114	7	49	588	911	1083	1.06e-10	65.1	768	1113	70	LOW	StAR-related lipid transfer protein 13
Montipora_capitata_HIv3___RNAseq.g12736.t1	Q6PCL9	PAPOG_MOUSE	66.533	499	159	4	25	1512	14	507	0.0	682	2376	739	63	HIGH	Poly(A) polymerase gamma
Montipora_capitata_HIv3___RNAseq.g12807.t1	P0DP43	CTSRE_MOUSE	29.518	332	208	12	67	1035	617	931	1.45e-39	153	1149	985	84	LOW	Cation channel sperm-associated auxiliary subunit epsilon
Montipora_capitata_HIv3___RNAseq.g12882.t1	Q61382	TRAF4_MOUSE	27.815	302	163	5	169	1050	208	462	2.01e-36	140	1056	470	97	LOW	TNF receptor-associated factor 4
Montipora_capitata_HIv3___RNAseq.g12947.t1	P16537	SPC3_STRPU	44.000	75	42	0	427	651	113	187	5.52e-17	79.7	696	208	32	LOW	Protein SPEC3
Montipora_capitata_HIv3___RNAseq.g13022.t1	Q9NZJ4	SACS_HUMAN	31.640	4665	2735	127	19	13179	86	4574	0.0	1992	13188	4579	99	MEDIUM	Sacsin
Montipora_capitata_HIv3___RNAseq.g13056.t1	G8XYX6	MOT8_DANRE	26.562	192	135	4	4	570	317	505	8.45e-14	73.6	717	526	79	LOW	Monocarboxylate transporter 8
Montipora_capitata_HIv3___RNAseq.g13057.t1	P57788	MOT4_CHICK	25.771	454	315	10	40	1371	17	458	1.53e-37	146	1419	473	94	LOW	Monocarboxylate transporter 4
Montipora_capitata_HIv3___RNAseq.g13058.t1	P57788	MOT4_CHICK	25.942	451	313	10	1	1323	4	443	4.01e-35	143	2238	473	89	LOW	Monocarboxylate transporter 4
Montipora_capitata_HIv3___RNAseq.g13130.t1	Q4R9C4	G2E3_MACFA	24.927	341	236	11	1165	2169	357	683	2.10e-18	93.6	2217	706	45	LOW	G2/M phase-specific E3 ubiquitin-protein ligase
Montipora_capitata_HIv3___TS.g21293.t1	B3QT42	THIM_CHLT3	44.444	207	100	3	22	642	45	236	6.48e-46	160	1035	267	60	HIGH	Hydroxyethylthiazole kinase
Montipora_capitata_HIv3___RNAseq.g13558.t1	O62826	TRPC2_BOVIN	24.880	209	131	5	1420	2007	61	256	5.21e-13	76.3	3171	432	19	LOW	Short transient receptor potential channel 2 homolog
Montipora_capitata_HIv3___RNAseq.g13613.t1	Q60803	TRAF3_MOUSE	38.139	548	310	9	28	1650	39	564	5.23e-127	386	1671	567	97	MEDIUM	TNF receptor-associated factor 3
Montipora_capitata_HIv3___TS.g21895.t1	P08537	TBA_XENLA	94.805	77	4	0	1	231	1	77	2.96e-46	166	990	449	23	LOW	Tubulin alpha chain
Montipora_capitata_HIv3___RNAseq.g13826.t1	P18258	TBA1_PARLI	97.059	340	10	0	1	1020	93	432	0.0	671	1083	452	94	HIGH	Tubulin alpha-1 chain
